Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
leaf,blue-leaf1,Ethernet1,network_port,GM-Meinberg_NIC,,True
leaf,blue-leaf1,Ethernet2,network_port,PHABRIX_MGMT,,True
leaf,blue-leaf1,Ethernet3,network_port,MEDIA,,True
leaf,blue-leaf1,Ethernet4,network_port,MEDIA,,True
leaf,blue-leaf1,Ethernet5,network_port,MEDIA,,True
leaf,blue-leaf1,Ethernet6,network_port,MEDIA,,True
leaf,blue-leaf1,Ethernet7,network_port,MEDIA,,True
leaf,blue-leaf1,Ethernet8,network_port,MEDIA,,True
leaf,blue-leaf1,Ethernet9,network_port,MEDIA,,True
leaf,blue-leaf1,Ethernet10,network_port,MEDIA,,True
leaf,blue-leaf1,Ethernet11,network_port,MEDIA,,True
leaf,blue-leaf1,Ethernet12,network_port,MEDIA,,True
leaf,blue-leaf1,Ethernet13,network_port,MEDIA,,True
leaf,blue-leaf1,Ethernet14,network_port,MEDIA,,True
leaf,blue-leaf1,Ethernet15,network_port,MEDIA,,True
leaf,blue-leaf1,Ethernet16,network_port,MEDIA,,True
leaf,blue-leaf1,Ethernet17,network_port,MEDIA,,True
leaf,blue-leaf1,Ethernet18,network_port,MEDIA,,True
leaf,blue-leaf1,Ethernet19,network_port,MEDIA,,True
leaf,blue-leaf1,Ethernet20,network_port,MEDIA,,True
leaf,blue-leaf1,Ethernet21,network_port,MEDIA,,True
leaf,blue-leaf1,Ethernet22,network_port,MEDIA,,True
leaf,blue-leaf1,Ethernet23,network_port,MEDIA,,True
leaf,blue-leaf1,Ethernet24,network_port,MEDIA,,True
leaf,blue-leaf1,Ethernet25,network_port,MEDIA,,True
leaf,blue-leaf1,Ethernet26,network_port,MEDIA,,True
leaf,blue-leaf1,Ethernet27,network_port,MEDIA,,True
leaf,blue-leaf1,Ethernet28,network_port,MEDIA,,True
leaf,blue-leaf1,Ethernet29,network_port,MEDIA,,True
leaf,blue-leaf1,Ethernet30,network_port,MEDIA,,True
leaf,blue-leaf1,Ethernet31,network_port,MEDIA,,True
leaf,blue-leaf1,Ethernet32,network_port,MEDIA,,True
leaf,blue-leaf1,Ethernet33,network_port,MEDIA,,True
leaf,blue-leaf1,Ethernet34,network_port,MEDIA,,True
leaf,blue-leaf1,Ethernet35,network_port,MEDIA,,True
leaf,blue-leaf1,Ethernet36,network_port,MEDIA,,True
leaf,blue-leaf1,Ethernet37,network_port,MEDIA,,True
leaf,blue-leaf1,Ethernet38,network_port,MEDIA,,True
leaf,blue-leaf1,Ethernet39,network_port,MEDIA,,True
leaf,blue-leaf1,Ethernet40,network_port,MEDIA,,True
leaf,blue-leaf1,Ethernet41,network_port,MEDIA,,True
leaf,blue-leaf1,Ethernet42,network_port,MEDIA,,True
leaf,blue-leaf1,Ethernet43,network_port,MEDIA,,True
leaf,blue-leaf1,Ethernet44,network_port,MEDIA,,True
leaf,blue-leaf1,Ethernet45,network_port,MEDIA,,True
leaf,blue-leaf1,Ethernet46,network_port,MEDIA,,True
